,OFFENSE,Name,YEAR,TotalNeighborhoodCrime
468,THEFT/OTHER,Adams Morgan,2019,635
469,MOTOR VEHICLE THEFT,Columbia Heights,2019,1892
470,THEFT/OTHER,Capitol Hill,2019,1598
471,BURGLARY,Sixteenth Street Heights,2019,813
472,THEFT/OTHER,Dupont Circle,2019,1134
473,THEFT/OTHER,Columbia Heights,2019,1892
474,THEFT F/AUTO,NoMa,2019,441
475,THEFT/OTHER,Columbia Heights,2019,1892
476,THEFT F/AUTO,Capitol Hill,2019,1598
477,THEFT/OTHER,Shaw,2019,1837
478,THEFT F/AUTO,Columbia Heights,2019,1892
479,THEFT F/AUTO,Dupont Circle,2019,1134
480,THEFT/OTHER,Navy Yard,2019,359
481,THEFT/OTHER,Columbia Heights,2019,1892
482,ASSAULT W/DANGEROUS WEAPON,Petworth,2019,501
483,ASSAULT W/DANGEROUS WEAPON,Columbia Heights,2019,1892
484,THEFT/OTHER,Sixteenth Street Heights,2019,813
485,THEFT/OTHER,Columbia Heights,2019,1892
486,THEFT/OTHER,Columbia Heights,2019,1892
487,THEFT F/AUTO,Dupont Circle,2019,1134
488,THEFT/OTHER,Dupont Circle,2019,1134
489,THEFT/OTHER,Navy Yard,2019,359
490,THEFT/OTHER,Navy Yard,2019,359
491,THEFT F/AUTO,Sixteenth Street Heights,2019,813
492,THEFT/OTHER,Dupont Circle,2019,1134
493,THEFT/OTHER,Adams Morgan,2019,635
494,MOTOR VEHICLE THEFT,Petworth,2019,501
495,THEFT/OTHER,Columbia Heights,2019,1892
496,THEFT F/AUTO,Adams Morgan,2019,635
497,THEFT F/AUTO,Anacostia,2019,248
498,THEFT F/AUTO,Adams Morgan,2019,635
499,ROBBERY,Shaw,2019,1837
500,MOTOR VEHICLE THEFT,Columbia Heights,2019,1892
501,THEFT/OTHER,NoMa,2019,441
502,MOTOR VEHICLE THEFT,Capitol Hill,2019,1598
503,THEFT/OTHER,Shaw,2019,1837
504,THEFT F/AUTO,Shaw,2019,1837
505,THEFT/OTHER,Dupont Circle,2019,1134
506,THEFT/OTHER,Shaw,2019,1837
507,THEFT F/AUTO,Columbia Heights,2019,1892
508,THEFT/OTHER,Shaw,2019,1837
509,THEFT F/AUTO,Dupont Circle,2019,1134
510,THEFT/OTHER,Adams Morgan,2019,635
511,THEFT F/AUTO,Capitol Hill,2019,1598
512,THEFT/OTHER,Dupont Circle,2019,1134
513,THEFT/OTHER,Sixteenth Street Heights,2019,813
514,THEFT/OTHER,Columbia Heights,2019,1892
515,THEFT/OTHER,Sixteenth Street Heights,2019,813
516,THEFT F/AUTO,Navy Yard,2019,359
517,THEFT/OTHER,Sixteenth Street Heights,2019,813
518,THEFT F/AUTO,Columbia Heights,2019,1892
519,THEFT F/AUTO,Shaw,2019,1837
520,THEFT F/AUTO,Columbia Heights,2019,1892
521,MOTOR VEHICLE THEFT,Capitol Hill,2019,1598
522,THEFT/OTHER,Columbia Heights,2019,1892
523,THEFT F/AUTO,Adams Morgan,2019,635
524,ROBBERY,Columbia Heights,2019,1892
525,THEFT/OTHER,Adams Morgan,2019,635
526,THEFT F/AUTO,Capitol Hill,2019,1598
527,THEFT/OTHER,Columbia Heights,2019,1892
528,MOTOR VEHICLE THEFT,Columbia Heights,2019,1892
529,BURGLARY,Columbia Heights,2019,1892
530,THEFT/OTHER,Columbia Heights,2019,1892
531,ASSAULT W/DANGEROUS WEAPON,Adams Morgan,2019,635
